state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Kentucky,21061,Edmonson County,4828,1227,6132,3601,0.787345075,0.200097847,0.587247228
Kentucky,21063,Elliott County,2246,712,2995,1534,0.749916528,0.237729549,0.512186978
Kentucky,21065,Estill County,5100,1355,6540,3745,0.779816514,0.207186544,0.572629969
Kentucky,21067,Fayette County,58860,90600,152912,-31740,0.384927278,0.592497646,-0.207570367
Kentucky,21069,Fleming County,5534,1474,7068,4060,0.782965478,0.208545557,0.574419921
Kentucky,21071,Floyd County,12250,3884,16353,8366,0.749098025,0.237509937,0.511588088
Kentucky,21073,Franklin County,12900,12652,26072,248,0.494783676,0.485271556,0.00951212
Kentucky,21075,Fulton County,1606,794,2426,812,0.661995054,0.327287716,0.334707337
Kentucky,21077,Gallatin County,2955,822,3849,2133,0.767731878,0.213561964,0.554169914
Kentucky,21079,Garrard County,6754,1830,8706,4924,0.775786814,0.210199862,0.565586952
Kentucky,21081,Grant County,8725,2205,11108,6520,0.785469932,0.198505582,0.58696435
Kentucky,21083,Graves County,13206,3560,17019,9646,0.775956284,0.209177978,0.566778307
Kentucky,21085,Grayson County,9453,2400,11985,7053,0.78873592,0.200250313,0.588485607
Kentucky,21087,Green County,4838,920,5812,3918,0.832415692,0.158293187,0.674122505
Kentucky,21089,Greenup County,13064,4873,18176,8191,0.71875,0.268100792,0.450649208
Kentucky,21091,Hancock County,3145,1351,4587,1794,0.685633312,0.294528014,0.391105298
Kentucky,21093,Hardin County,29832,18101,48941,11731,0.609550275,0.369853497,0.239696778
Kentucky,21095,Harlan County,9367,1494,10971,7873,0.853796372,0.136177194,0.717619178
