Client County Name,Estimated Coverage (12+ 1 Dose),Estimated Coverage (12+ Fully),Estimated Coverage (65+ 1 Dose),Estimated Coverage (65+ Fully),Percentage of Population Vaccinated,County Name ,PHR Critical Pop,Latitude (generated),Longitude (generated),FULLY_VACCINATED_CALC,Population 16Up,TOTAL_PEOPLE_CALC
RUSK,0.457323363,0.391825683,0.705664891,64.00%,0.457323363,Rusk,4/5N,32.1261,-94.7873,18234,43777,21282
SABINE,0.420664601,0.366705845,0.612794613,56.57%,0.420664601,Sabine,4/5N,31.3731,-93.8461,3432,8871,3937
SAN AUGUSTINE,0.51226349,0.434898388,0.710372699,63.76%,0.51226349,San Augustine,4/5N,31.377,-94.1756,3103,6811,3655
SAN JACINTO,0.397998553,0.343702275,0.580918619,52.76%,0.397998553,San Jacinto,4/5N,30.6136,-95.1783,8552,23444,9903
SAN PATRICIO,0.705070802,0.596811183,0.900773827,80.58%,0.705070802,San Patricio,11,27.9997,-97.5016,32790,51116,38738
SAN SABA,0.427353665,0.362000379,0.59112628,53.24%,0.427353665,San Saba,7,31.2064,-98.8303,1911,5000,2256
SCHLEICHER,0.534389329,0.484368487,0.779964222,74.60%,0.534389329,Schleicher,09-Oct,30.9013,-100.539,1162,2218,1282
SCURRY,0.587924636,0.485655153,0.816835542,71.43%,0.587924636,Scurry,02-Mar,32.7541,-100.9166,6805,13000,8238
SHACKELFORD,0.426533524,0.370898716,0.709117221,64.69%,0.426533524,Shackelford,02-Mar,32.7367,-99.354,1040,2612,1196
SHELBY,0.459639536,0.373454127,0.660194175,58.91%,0.459639536,Shelby,4/5N,31.7749,-94.127,7791,19449,9589
SHERMAN,0.443099274,0.33535109,0.577922078,45.89%,0.443099274,Sherman,1,36.2705,-101.8934,831,2294,1098
SMITH,0.551575858,0.478889356,0.823626611,75.92%,0.551575858,Smith,4/5N,32.4125,-95.2456,93325,182283,107490
SOMERVELL,0.500958711,0.442669053,0.789830508,72.94%,0.500958711,Somervell,02-Mar,32.2014,-97.7856,3463,7386,3919
STARR,0.983615434,0.873876945,0.9999,97.72%,0.983615434,Starr,11,26.5105,-98.7859,43575,45765,49047
STEPHENS,0.414106232,0.362731683,0.672486772,61.43%,0.414106232,Stephens,02-Mar,32.7377,-98.836,2916,7542,3329
STERLING,0.490403071,0.411708253,0.833333333,74.73%,0.490403071,Sterling,09-Oct,31.8222,-101.0451,429,975,511
STONEWALL,0.490549828,0.437285223,0.747922438,69.53%,0.490549828,Stonewall,02-Mar,33.1802,-100.2535,509,1095,571
SUTTON,0.53137942,0.464797706,0.821576763,77.04%,0.53137942,Sutton,09-Oct,30.4919,-100.5386,1459,2992,1668
SWISHER,0.461761391,0.406053776,0.724904215,65.59%,0.461761391,Swisher,1,34.535,-101.7351,2522,5764,2868
TARRANT,0.669459926,0.589619701,0.874406468,80.90%,0.669459926,Tarrant,02-Mar,32.7708,-97.2917,1025318,1617160,1164156
TAYLOR,0.548787694,0.472807856,0.831354627,77.24%,0.548787694,Taylor,02-Mar,32.3045,-99.8901,54406,107257,63149
TERRELL,0.644542773,0.525073746,0.68627451,59.61%,0.644542773,Terrell,09-Oct,30.2125,-102.1628,356,639,437
TERRY,0.530208022,0.45585747,0.74919268,67.38%,0.530208022,Terry,1,33.1754,-102.3353,4580,9307,5327
THROCKMORTON,0.496194825,0.422374429,0.575280899,52.36%,0.496194825,Throckmorton,02-Mar,33.1541,-99.2122,555,1247,652
TITUS,0.522447899,0.423200575,0.736429309,65.78%,0.522447899,Titus,4/5N,33.19,-94.9689,11189,24323,13813
TOM GREEN,0.55472312,0.493663004,0.859436242,79.41%,0.55472312,Tom Green,09-Oct,31.3893,-100.4023,49156,93752,55236
TRAVIS,0.81119976,0.712149315,0.918759118,83.64%,0.81119976,Travis,7,30.3252,-97.7773,778256,1032386,886501
TRINITY,0.497369041,0.424487552,0.683265925,61.65%,0.497369041,Trinity,4/5N,31.1046,-95.1246,5405,12104,6333
TYLER,0.419072247,0.367037838,0.625127681,57.28%,0.419072247,Tyler,4/5N,30.7932,-94.3877,6955,17963,7941
UPSHUR,0.407768919,0.349913458,0.627220447,58.13%,0.407768919,Upshur,4/5N,32.7068,-94.9274,12332,33011,14371
UPTON,0.524551304,0.4439553,0.726256983,63.50%,0.524551304,Upton,09-Oct,31.369,-102.0443,1311,2730,1549
UVALDE,0.6555505,0.559599636,0.867790594,78.33%,0.6555505,Uvalde,8,29.3551,-99.7622,12300,20379,14409
