COVID-19 Vaccinations Equity
Date generated: Mon Oct 04 2021 17:46:26 GMT+0100 (British Summer Time)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Chattahoochee County,GA ,Mod-High,57.1,99.9,99.9,99.9,99.9
Chattooga County,GA ,High,57.1,12.7,15,15.3,14
Cherokee County,GA ,Low,57.1,28.7,33.8,35.1,53.2
Clarke County,GA ,High,57.1,22.1,25.1,24.7,57.2
Clay County,GA ,High,57.1,32,36.5,37.3,53
Clayton County,GA ,High,57.1,19,23.3,23.2,34.4
Clinch County,GA ,High,57.1,30.2,36.2,39,57.5
Cobb County,GA ,Low-Mod,57.1,37.5,44.1,44.8,63.7
Coffee County,GA ,High,57.1,26.6,31.8,33.2,49.3
Colquitt County,GA ,High,57.1,19.3,23.2,23.9,21.8
Columbia County,GA ,Low,57.1,25.1,29.9,30.8,40.8
Cook County,GA ,High,57.1,34,40.5,43.7,66.8
Coweta County,GA ,Low,57.1,25.8,30.5,31.8,49.2
Crawford County,GA ,Mod-High,57.1,16.8,19.2,20.2,24.9
Crisp County,GA ,High,57.1,17.2,20.4,20.1,19.4
Dade County,GA ,Mod-High,57.1,19.4,22.2,22.2,23.1
Dawson County,GA ,Low,57.1,11.5,13.2,13.4,12.4
Decatur County,GA ,High,57.1,36.6,43.6,46,69.2
DeKalb County,GA ,Mod-High,57.1,30.4,36.1,36.1,47.4
Dodge County,GA ,High,57.1,10,11.5,11,7.4
Dooly County,GA ,High,57.1,16.2,18,17.6,19.4
Dougherty County,GA ,High,57.1,21.8,26,25.7,19.1
Douglas County,GA ,Mod-High,57.1,26.7,31.9,32.5,49.7
Early County,GA ,High,57.1,18.5,22.1,22.5,18.7
Echols County,GA ,Mod-High,57.1,13.9,16.9,17.8,19.7
Effingham County,GA ,Low,57.1,21,25.4,26.4,46.8
Elbert County,GA ,High,57.1,18,21.1,21.6,26.9
Emanuel County,GA ,High,57.1,27.2,32.6,34.9,48.8
Evans County,GA ,High,57.1,20,24.1,25.2,33.2
Fannin County,GA ,Low-Mod,57.1,19.6,21.8,22.7,26.8
Fayette County,GA ,Low,57.1,32.9,37.9,40.1,51.1
Floyd County,GA ,High,57.1,16,18.8,18.7,13.6
Forsyth County,GA ,Low,57.1,21.6,25.9,25.7,28.2
Franklin County,GA ,High,57.1,13,15.3,15.8,15
Fulton County,GA ,Mod-High,57.1,28.3,32.9,32.9,46.4
Gilmer County,GA ,Mod-High,57.1,12.4,14.2,14.4,14.7
Glascock County,GA ,Mod-High,57.1,12.9,14.9,15.2,19.9
Glynn County,GA ,Mod-High,57.1,43.4,50.4,52.8,76.5
Gordon County,GA ,High,57.1,14.2,16.7,16.9,14.5
Grady County,GA ,High,57.1,17.9,21.3,21.1,20.1
Greene County,GA ,Mod-High,57.1,38.8,44.5,46.4,64.2
Gwinnett County,GA ,Low-Mod,57.1,29.6,35.5,36.2,46.8
Habersham County,GA ,Mod-High,57.1,17.5,20.4,21,24.7
Hall County,GA ,Mod-High,57.1,28.1,33.4,34.4,41.7
Hancock County,GA ,High,57.1,12.2,13.5,12.6,11.6
Haralson County,GA ,Mod-High,57.1,13.5,16,16.7,22.3
Harris County,GA ,Low,57.1,19.4,22.3,23.1,29.7
Hart County,GA ,Mod-High,57.1,25.6,29.5,31.3,48.4
Heard County,GA ,Mod-High,57.1,12.3,14.4,15,16.8
Henry County,GA ,Low-Mod,57.1,19.7,23.3,23.9,37
Houston County,GA ,Mod-High,57.1,33.3,40,42,59.2
Irwin County,GA ,High,57.1,13.5,15.6,15.3,19.5
Jackson County,GA ,Low-Mod,57.1,23.2,27.7,29.2,49.2
Jasper County,GA ,Mod-High,57.1,15.1,17.6,18.3,26.5
Jeff Davis County,GA ,High,57.1,10.3,12.5,13.1,12.4
Jefferson County,GA ,High,57.1,29.7,35.1,36.3,46.4
Jenkins County,GA ,High,57.1,20.2,23.1,23.6,36
Johnson County,GA ,High,57.1,13.7,15.5,15.7,14.4
Jones County,GA ,Low-Mod,57.1,22.2,25.7,26.5,34.8
Lamar County,GA ,Low-Mod,57.1,12.6,14.6,14.6,20.5
Lanier County,GA ,High,57.1,10.9,13,13,17.9
Laurens County,GA ,High,57.1,22.8,27.2,28.1,31.3
Lee County,GA ,Low-Mod,57.1,16.7,20.1,19.2,13.6
Liberty County,GA ,High,57.1,38.6,48.9,50.7,56
Lincoln County,GA ,Mod-High,57.1,18.1,20.6,20.8,19.2
Long County,GA ,High,57.1,6.6,8.1,7.9,10.2
Lowndes County,GA ,High,57.1,25.3,30.3,31.1,50.3
Lumpkin County,GA ,Low-Mod,57.1,9.7,10.9,10.8,11.6
Macon County,GA ,High,57.1,17.3,19.6,19.5,24.7
Madison County,GA ,Mod-High,57.1,21,24.7,25.4,36.7
Marion County,GA ,High,57.1,15.2,17.5,17.6,15.3
McDuffie County,GA ,High,57.1,17.3,20.8,21.3,23.6
McIntosh County,GA ,Mod-High,57.1,34,37.7,39.1,50.8
Meriwether County,GA ,High,57.1,22.3,25.9,27,39.3
Miller County,GA ,High,57.1,20.4,23.9,24.1,16.2
Mitchell County,GA ,High,57.1,19.4,22.7,22.8,23.5
Monroe County,GA ,Low-Mod,57.1,10.8,12.5,12.4,14.1
Montgomery County,GA ,High,57.1,20.7,23.9,24.7,35.9
Morgan County,GA ,Low,57.1,22,25.7,26.7,40.6
Murray County,GA ,Mod-High,57.1,14,16.5,16.9,17.5
Muscogee County,GA ,High,57.1,30.9,37.2,38.3,61.9
Newton County,GA ,Mod-High,57.1,16.4,19.6,19.6,30.9
Oconee County,GA ,Low,57.1,26.4,31.4,31.8,50.1
Oglethorpe County,GA ,Mod-High,57.1,25.5,29.4,30.3,46.7
Paulding County,GA ,Low,57.1,18.8,22.5,23,40.8
Peach County,GA ,High,57.1,12.9,14.9,14.4,13.9
Pickens County,GA ,Low-Mod,57.1,13.5,15.4,15.9,24.8
Pierce County,GA ,Mod-High,57.1,23.6,28.1,30.2,50.7
Pike County,GA ,Low,57.1,13.4,15.5,16.5,21.5
Polk County,GA ,High,57.1,12.9,15.5,16,12.1
Pulaski County,GA ,High,57.1,13.5,15.2,15,10.5
Putnam County,GA ,Low-Mod,57.1,12.1,13.8,13.6,12.4
Quitman County,GA ,High,57.1,11,12.5,12.9,17.3
Rabun County,GA ,Mod-High,57.1,25.5,28.4,29,39.3
Randolph County,GA ,High,57.1,16.1,18.6,17.9,14
Richmond County,GA ,High,57.1,31.8,37.7,38.7,53.8
Rockdale County,GA ,Mod-High,57.1,16.7,19.6,19.3,21.3
Schley County,GA ,High,57.1,16.9,19.6,20.8,13.8
Screven County,GA ,High,57.1,33.8,39.4,40.6,63.1
Seminole County,GA ,High,57.1,15.8,18.3,17.8,11.5
Spalding County,GA ,High,57.1,14.5,17.1,17.4,21.5
Stephens County,GA ,High,57.1,12.3,14.4,14.8,13.1
Stewart County,GA ,High,57.1,17.8,19.2,19,40.4
Sumter County,GA ,High,57.1,36.2,42.6,44.1,56.2
Talbot County,GA ,High,57.1,27,30.2,30.5,37.9
Taliaferro County,GA ,High,57.1,19.3,21.8,21.4,20.4
Tattnall County,GA ,High,57.1,13,14.9,15.1,16.4
Taylor County,GA ,High,57.1,26.7,30.7,32.2,40.1
Telfair County,GA ,High,57.1,17,19,19.4,24.9
Terrell County,GA ,High,57.1,23.6,27.7,27.8,24.5
Thomas County,GA ,High,57.1,22.8,27,27.4,31.7
Tift County,GA ,High,57.1,19.9,23.8,24.2,38.6
Toombs County,GA ,High,57.1,19.2,23.1,24.2,24.1
Towns County,GA ,Low-Mod,57.1,10.9,12,11.9,11.4
Treutlen County,GA ,High,57.1,14.3,16.8,17.2,16
Troup County,GA ,High,57.1,19.5,23.1,24.2,41.7
Turner County,GA ,High,57.1,20.2,24.1,24.5,26.8
Twiggs County,GA ,High,57.1,11.5,13.2,12.4,10.3
Union County,GA ,Low-Mod,57.1,12.3,13.6,13.9,13.3
Upson County,GA ,High,57.1,34.4,40.5,42.8,65.2
Walker County,GA ,Mod-High,57.1,21.8,25.3,26.5,34.4
Walton County,GA ,Low-Mod,57.1,21.6,25.6,26.9,43.4
Ware County,GA ,High,57.1,22.2,26.6,28.2,42.5
Warren County,GA ,High,57.1,16.1,18.5,18.4,15
Washington County,GA ,High,57.1,13.7,15.9,15.4,20.6
Wayne County,GA ,High,57.1,28.6,34,36.7,57.7
Webster County,GA ,High,57.1,17.9,20.1,20.8,20.8
Wheeler County,GA ,High,57.1,9.6,10.8,10.5,13.2
White County,GA ,Low,57.1,10.3,11.7,12,11.5
Whitfield County,GA ,High,57.1,20.8,24.9,25.1,30.5
Wilcox County,GA ,High,57.1,12.8,14.6,14.2,15.9
Wilkes County,GA ,High,57.1,16.5,19,19.1,22.5
Wilkinson County,GA ,High,57.1,20.3,23.7,24,27.2
Worth County,GA ,Mod-High,57.1,15.9,18.5,18.8,18.4
Hawaii County,HI ,Mod-High,null,null,null,null,null
Honolulu County,HI ,Low-Mod,null,null,null,null,null
Kalawao County,HI ,Low-Mod,null,null,null,null,null
Kauai County,HI ,Low-Mod,null,null,null,null,null
Maui County,HI ,Low-Mod,null,null,null,null,null
Ada County,ID ,Low,97.6,50.5,null,65.7,90.7
Adams County,ID ,Low-Mod,97.6,37,null,44.8,65.5
Bannock County,ID ,Mod-High,97.6,40.5,null,54.5,82.4
Bear Lake County,ID ,Low,97.6,37.8,null,51.7,86.3
Benewah County,ID ,Mod-High,97.6,41.5,null,53.2,76.8
Bingham County,ID ,Mod-High,97.6,36.6,null,52.3,77.2
Blaine County,ID ,Low-Mod,97.6,66.8,null,84.6,99.9
Boise County,ID ,Low,97.6,27.4,null,32.8,49.2
Bonner County,ID ,Low,97.6,35.9,null,44.6,66.5
Bonneville County,ID ,Low-Mod,97.6,40.1,null,57.5,81.2
Boundary County,ID ,Low-Mod,97.6,28.5,null,37,59.4
Butte County,ID ,Low,97.6,37,null,48.9,65.1
Camas County,ID ,Low,97.6,35.3,null,45.2,56.7
Canyon County,ID ,Mod-High,97.6,34.7,null,48.1,75.5
Caribou County,ID ,Low,97.6,31.4,null,44.2,66.8
Cassia County,ID ,Mod-High,97.6,29,null,42.3,66.1
Clark County,ID ,High,97.6,31.8,null,40.8,43.9
Clearwater County,ID ,Low-Mod,97.6,36.1,null,42.9,69
Custer County,ID ,Low-Mod,97.6,38.9,null,47,61.1
Elmore County,ID ,Mod-High,97.6,36.3,null,48.1,70.9
Franklin County,ID ,Low,97.6,34.1,null,49.4,81.7
Fremont County,ID ,Mod-High,97.6,35.3,null,46.8,72.5
Gem County,ID ,Mod-High,97.6,32.6,null,42.3,69.4
Gooding County,ID ,Mod-High,97.6,33.2,null,45.5,69.6
Idaho County,ID ,Mod-High,97.6,25.4,null,31.5,49.3
Jefferson County,ID ,Low-Mod,97.6,31.2,null,47,78.3
Jerome County,ID ,Mod-High,97.6,33.3,null,47.9,73.7
Kootenai County,ID ,Low,97.6,36.9,null,47.6,75
Latah County,ID ,Low,97.6,47.7,null,57.9,89.4
Lemhi County,ID ,Low-Mod,97.6,39.5,null,48.5,66.9
Lewis County,ID ,Mod-High,97.6,41,null,52.1,78.7
Lincoln County,ID ,Mod-High,97.6,32,null,44,74.4
Madison County,ID ,Low-Mod,97.6,40.7,null,55.6,85.9
Minidoka County,ID ,Mod-High,97.6,31.3,null,43.8,63.6
Nez Perce County,ID ,Mod-High,97.6,44.3,null,55.7,88.9
Oneida County,ID ,Low-Mod,97.6,34.1,null,47.5,72.4
Owyhee County,ID ,High,97.6,26.1,null,35.1,52.1
Payette County,ID ,Mod-High,97.6,26.1,null,35.2,64
Power County,ID ,Mod-High,97.6,40.6,null,58.3,79.9
Shoshone County,ID ,High,97.6,36.6,null,46,78.3
Teton County,ID ,Low,97.6,51.8,null,67.8,82
Twin Falls County,ID ,Low-Mod,97.6,38,null,52.3,81.4
Valley County,ID ,Low,97.6,51.6,null,63.1,81.7
Washington County,ID ,High,97.6,33.6,null,43.4,66.1
Adams County,IL ,Low,97.8,44.7,52.5,55.2,74.4
Alexander County,IL ,High,97.8,25.2,29.4,31.8,46.7
Bond County,IL ,Low-Mod,97.8,44.4,50.2,52.3,74.3
Boone County,IL ,Low-Mod,97.8,47.4,55.5,57.9,77
Brown County,IL ,Low-Mod,97.8,30.9,34.5,35.4,75.8
Bureau County,IL ,Low-Mod,97.8,45.5,52.4,54.3,72.6
Calhoun County,IL ,Low,97.8,46.6,53.5,56.5,74.5
Carroll County,IL ,Low,97.8,52.8,60.3,63.7,79.3
Cass County,IL ,Mod-High,97.8,49.6,58.9,61.2,75.4
Champaign County,IL ,Low-Mod,97.8,53.3,60.9,61.5,82
Christian County,IL ,Low,97.8,39.2,45,47.3,76.5
Clark County,IL ,Low,97.8,37.3,43.7,46.2,66.6
Clay County,IL ,Mod-High,97.8,32.2,37.8,40.7,67.6
Clinton County,IL ,Low,97.8,45.8,53,54.9,79
Coles County,IL ,Low-Mod,97.8,37.7,42.7,44,72
Cook County,IL ,Mod-High,97.8,55.9,65.1,66.2,74.6
Crawford County,IL ,Low-Mod,97.8,42.4,48.8,50.8,78.4
Cumberland County,IL ,Low,97.8,30.4,35.6,38.1,60.8
De Witt County,IL ,Low,97.8,43.7,50.5,52.9,76.6
DeKalb County,IL ,Low-Mod,97.8,44,51.1,52.1,80.3
Douglas County,IL ,Low-Mod,97.8,39.6,47,49.6,69.6
DuPage County,IL ,Low,97.8,61.4,71.6,72.7,85.5
Edgar County,IL ,Low-Mod,97.8,37.8,43.4,45.7,68.3
Edwards County,IL ,Low,97.8,33.9,39.8,42.7,67.8
Effingham County,IL ,Low,97.8,37.9,45.1,48,74.7
Fayette County,IL ,Mod-High,97.8,26.7,30.8,32.7,58.7
Ford County,IL ,Low-Mod,97.8,46,53.8,55.8,79.6
Franklin County,IL ,Mod-High,97.8,35.7,41.6,44.1,66.6
Fulton County,IL ,Mod-High,97.8,44.3,50.5,52.3,76.9
Gallatin County,IL ,Low-Mod,97.8,44.6,51,53.4,72.9
Greene County,IL ,Low,97.8,36.2,41.9,44.3,66
Grundy County,IL ,Low,97.8,43.6,51.7,54,73
Hamilton County,IL ,Low,97.8,32.6,37.6,40.6,59.9
Hancock County,IL ,Low,97.8,40,46.1,48.8,70.3
Hardin County,IL ,Mod-High,97.8,35.3,39.5,42.1,64.9
Henderson County,IL ,Low,97.8,40.5,46.1,48.5,72.6
Henry County,IL ,Low,97.8,49.1,57,58.9,80.1
Iroquois County,IL ,Low-Mod,97.8,41.7,48.3,50.9,73.2
Jackson County,IL ,Mod-High,97.8,40.8,46.5,47.5,70.5
Jasper County,IL ,Low,97.8,31.3,36.9,39.5,62.8
Jefferson County,IL ,High,97.8,35.1,41.2,43.4,68.7
Jersey County,IL ,Low,97.8,47.8,54.7,57.2,83.2
Jo Daviess County,IL ,Low,97.8,66.9,75.7,78.9,99.9
Johnson County,IL ,Low-Mod,97.8,32.9,37.3,39.3,63.2
Kane County,IL ,Low-Mod,97.8,51.6,61.1,62.8,76.6
Kankakee County,IL ,Mod-High,97.8,40.6,47.4,49.7,72
Kendall County,IL ,Low,97.8,52.2,63.2,65,82.6
Knox County,IL ,Mod-High,97.8,46.3,53.3,55.3,80
Lake County,IL ,Low-Mod,97.8,59,69.1,70.1,78.8
LaSalle County,IL ,Low-Mod,97.8,45.6,52.7,54.6,74.1
Lawrence County,IL ,High,97.8,29.5,33.7,35.4,60.8
Lee County,IL ,Low-Mod,97.8,44.8,51.2,52.8,72.4
Livingston County,IL ,Low-Mod,97.8,37.7,43.9,46.1,70.7
Logan County,IL ,Low,97.8,41.8,47.7,49.4,77.7
Macon County,IL ,Mod-High,97.8,42.4,49.7,52.1,72.8
Macoupin County,IL ,Low,97.8,44.6,51.4,53.7,78.6
Madison County,IL ,Low-Mod,97.8,48.5,56.4,58,77
Marion County,IL ,Mod-High,97.8,36.6,43.3,45.9,72.9
Marshall County,IL ,Low,97.8,46.3,53.3,55.3,74.9
Mason County,IL ,Low-Mod,97.8,43.1,49.5,52.5,71.6
Massac County,IL ,High,97.8,31.1,36,38.6,61.8
McDonough County,IL ,Mod-High,97.8,39.6,44.5,45,74
McHenry County,IL ,Low,97.8,52.4,61,62.9,80.2
McLean County,IL ,Low,97.8,51.4,59.6,60.2,83.3
Menard County,IL ,Low,97.8,48.7,56.3,58.7,80.7
Mercer County,IL ,Low,97.8,48.1,55.4,57.6,80.4
Monroe County,IL ,Low,97.8,50.7,58.9,60.7,82.2
Montgomery County,IL ,Low-Mod,97.8,40.1,46.1,48,73.3
Morgan County,IL ,Mod-High,97.8,44.3,50.5,52,76.2
Moultrie County,IL ,Low-Mod,97.8,35.9,42.8,46.4,71.8
Ogle County,IL ,Low-Mod,97.8,46.3,53.8,55.8,76
Peoria County,IL ,Mod-High,97.8,50.8,60.4,62.3,83.3
Perry County,IL ,Mod-High,97.8,36,41,43.1,73.4
Piatt County,IL ,Low,97.8,48.2,56,57.7,80.2
Pike County,IL ,Low-Mod,97.8,34.6,40.6,43.4,70
Pope County,IL ,Low-Mod,97.8,26.8,28.6,29.6,45.2
Pulaski County,IL ,Mod-High,97.8,32,36.9,39.4,55.1
Putnam County,IL ,Low,97.8,47.3,54,56.3,75.6
Randolph County,IL ,Low-Mod,97.8,39.2,44.9,46.7,74.7
Richland County,IL ,Low-Mod,97.8,40,47,49.7,73.5
Rock Island County,IL ,Mod-High,97.8,47.2,55.3,57.3,75.5
Saline County,IL ,High,97.8,38.8,45.1,47.7,75.1
Sangamon County,IL ,Low-Mod,97.8,54.7,63.7,65.6,84.5
Schuyler County,IL ,Mod-High,97.8,49.2,55.4,57.5,76.5
Scott County,IL ,Low,97.8,36.2,41.6,44.3,69.5
Shelby County,IL ,Low,97.8,34.4,39.8,42.5,62.9
St. Clair County,IL ,Mod-High,97.8,49.1,57.9,59.9,76.8
Stark County,IL ,Low,97.8,45.5,52.8,55,80.8
Stephenson County,IL ,Low-Mod,97.8,50.7,58.7,61.5,92.4
Tazewell County,IL ,Low,97.8,50,58.4,60.6,80.6
Union County,IL ,Mod-High,97.8,45.6,52.5,55.2,73.5
Vermilion County,IL ,High,97.8,32.8,38.7,41.2,66.5
Wabash County,IL ,Low-Mod,97.8,42.5,49.8,52.8,76.1
Warren County,IL ,Mod-High,97.8,42.4,49.5,51.2,76.3
Washington County,IL ,Low,97.8,47.4,54.8,56.9,78.3
Wayne County,IL ,Low-Mod,97.8,34.5,40.5,43.2,64.7
White County,IL ,Mod-High,97.8,40.6,47.5,50.4,78.2
Whiteside County,IL ,Low-Mod,97.8,46.9,54.6,56.7,77.3
Will County,IL ,Low,97.8,52.9,62.2,63.7,78.8
Williamson County,IL ,Low-Mod,97.8,43.5,50.7,52.9,70.6
Winnebago County,IL ,Mod-High,97.8,46.1,54.4,56.9,77
Woodford County,IL ,Low,97.8,46.3,54.4,57.1,80.8
Adams County,IN ,Mod-High,98.7,30.1,38.3,42.4,73.8
Allen County,IN ,Mod-High,98.7,46.9,56.4,59.1,84.9
Bartholomew County,IN ,Low-Mod,98.7,52.8,62.8,64.8,83.6
Benton County,IN ,Low-Mod,98.7,37.9,44.9,47.8,70.8
Blackford County,IN ,Low-Mod,98.7,40.6,47.2,50,77.2
Boone County,IN ,Low,98.7,62.8,75.6,77.2,96.5
Brown County,IN ,Low,98.7,45.6,51.1,53.2,71.6
Carroll County,IN ,Low,98.7,30.5,35.6,37.9,54.4
Cass County,IN ,Mod-High,98.7,39.4,46.2,48.7,73
Clark County,IN ,Low-Mod,98.7,54,63.5,65.6,90.6
Clay County,IN ,Low-Mod,98.7,49.9,58.6,62.1,99.9
Clinton County,IN ,Mod-High,98.7,42.1,50.7,54,82.9
Crawford County,IN ,Low-Mod,98.7,33.2,38.5,40.8,62.7
Daviess County,IN ,Mod-High,98.7,29.2,36.3,39.9,68.1
Dearborn County,IN ,Low,98.7,52.9,61.3,65,98.5
Decatur County,IN ,Low,98.7,43,50.9,54.3,85.9
DeKalb County,IN ,Low,98.7,38.3,45.4,48.3,79.5
Delaware County,IN ,Mod-High,98.7,43.2,49,50.4,80.9
Dubois County,IN ,Low,98.7,50.8,60.4,64.3,93
Elkhart County,IN ,High,98.7,37.4,45.6,48.3,72.7
Fayette County,IN ,Mod-High,98.7,34.4,39.8,42.6,71.4
Floyd County,IN ,Low,98.7,51.4,60.3,62.2,90.4
Fountain County,IN ,Low,98.7,41.4,48.3,51.2,87
Franklin County,IN ,Low,98.7,32.4,37.8,40.5,65.3
Fulton County,IN ,Low-Mod,98.7,36.2,42.7,45.7,71.9
Gibson County,IN ,Low-Mod,98.7,41.9,49.6,52.3,77
Grant County,IN ,Mod-High,98.7,37.5,43.4,45.8,76.3
Greene County,IN ,Low-Mod,98.7,36.2,41.9,44.2,65.1
Hamilton County,IN ,Low,98.7,63.6,76.6,78.8,96.3
Hancock County,IN ,Low,98.7,60.5,71.1,73.4,94.2
Harrison County,IN ,Low,98.7,45.6,53.2,55.6,82.3
Hendricks County,IN ,Low,98.7,64.1,75.9,78.4,99.9
Henry County,IN ,Low-Mod,98.7,46.6,53.4,56.2,83.4
Howard County,IN ,Low-Mod,98.7,42.1,49.5,52.2,77.4
Huntington County,IN ,Low,98.7,45.7,53.2,56,93
Jackson County,IN ,Mod-High,98.7,46.9,55.8,58.7,87
Jasper County,IN ,Low-Mod,98.7,41.2,48.1,51,82.4
Jay County,IN ,Mod-High,98.7,34.1,40.9,44,77.9
Jefferson County,IN ,Low-Mod,98.7,50.4,58.2,60.8,93.1
Jennings County,IN ,Low-Mod,98.7,35.7,42.1,44.6,71.1
Johnson County,IN ,Low,98.7,52,61.9,64.6,90.4
Knox County,IN ,Mod-High,98.7,44.9,52.3,54.9,84.3
Kosciusko County,IN ,Low-Mod,98.7,36.5,43.2,46,72.2
LaGrange County,IN ,Low-Mod,98.7,20,25.4,28.7,60.2
Lake County,IN ,Mod-High,98.7,49.4,58,60.4,83.2
LaPorte County,IN ,Mod-High,98.7,50.1,58.4,60.7,86.5
Lawrence County,IN ,Low-Mod,98.7,43.9,50.7,53.8,76.5
Madison County,IN ,Mod-High,98.7,46.6,54,56.6,83.1
Marion County,IN ,High,98.7,48.9,58.7,61,81.2
Marshall County,IN ,Mod-High,98.7,39.9,47.5,49.9,74.3
Martin County,IN ,Low,98.7,43.1,50.4,53.9,75.2
Miami County,IN ,Mod-High,98.7,36.4,42,44.8,69.8
Monroe County,IN ,Low-Mod,98.7,53.8,60,60.5,85.5
Montgomery County,IN ,Low-Mod,98.7,41,48,50.6,76.5
Morgan County,IN ,Low,98.7,48.1,56,58.7,86.8
Newton County,IN ,Low-Mod,98.7,27.9,32.2,34.2,55.1
Noble County,IN ,Low-Mod,98.7,34.7,41.3,43.8,74.4
Ohio County,IN ,Low,98.7,67.5,77.5,81.8,99.9
Orange County,IN ,Mod-High,98.7,49.7,58.2,61.5,91.2
Owen County,IN ,Low-Mod,98.7,38.6,44.3,46.7,70.4
Parke County,IN ,Mod-High,98.7,35.8,41.7,44.4,64.7
Perry County,IN ,Low-Mod,98.7,51.3,59.4,61.6,83.2
Pike County,IN ,Low,98.7,51.8,60.2,64,97.3
Porter County,IN ,Low,98.7,51,59.1,61.2,85.3
Posey County,IN ,Low,98.7,42.8,49.8,52.3,73.3
Pulaski County,IN ,Low,98.7,40.5,46.9,49.7,80.2
Putnam County,IN ,Low-Mod,98.7,38.2,43.7,45.7,70.8
Randolph County,IN ,Low-Mod,98.7,39.3,45.9,49.1,79.7
Ripley County,IN ,Low-Mod,98.7,42.3,49.7,53,84.9
Rush County,IN ,Low-Mod,98.7,42.1,49.1,52.4,82.1
Scott County,IN ,Low-Mod,98.7,39.8,46.6,49.1,76.7
Shelby County,IN ,Low,98.7,50.9,59.6,62.7,88.7
Spencer County,IN ,Low,98.7,40.1,46.5,48.8,70.3
St. Joseph County,IN ,Mod-High,98.7,52.1,61.6,64,83.9
Starke County,IN ,Low-Mod,98.7,32.6,38.1,40.7,67
Steuben County,IN ,Low-Mod,98.7,43,49.3,51.9,81.2
Sullivan County,IN ,Mod-High,98.7,44.1,50.4,52.8,79.1
Switzerland County,IN ,Mod-High,98.7,27.7,33,35.6,62.2
Tippecanoe County,IN ,Low-Mod,98.7,51.8,60.1,61.9,83.4
Tipton County,IN ,Low,98.7,40.8,46.8,49.3,71.6
Union County,IN ,Low,98.7,43.4,50,53,85.8
Vanderburgh County,IN ,Mod-High,98.7,52,60.7,62.9,87.5
Vermillion County,IN ,Low-Mod,98.7,41.4,48.1,51.1,78.1
Vigo County,IN ,Mod-High,98.7,44.6,51.6,53.5,78.9
Wabash County,IN ,Low-Mod,98.7,37.7,43.3,46,78
Warren County,IN ,Low,98.7,40.6,47.6,49.8,72.3
Warrick County,IN ,Low,98.7,56.5,66.3,68.9,93.2
Washington County,IN ,Low-Mod,98.7,36.2,42.4,45.2,71.1
Wayne County,IN ,Mod-High,98.7,43.1,50.3,52.6,79.4
Wells County,IN ,Low,98.7,37.8,45.1,48.3,77.2
White County,IN ,Low,98.7,49.1,57.9,61.4,92.7
Whitley County,IN ,Low,98.7,43,50.5,53.8,86.3
Adair County,IA ,Low,97.5,43.9,51.3,53.5,74
Adams County,IA ,Low,97.5,48.1,55.8,59.3,79.6
Allamakee County,IA ,Low-Mod,97.5,47.1,55.9,59.1,82.3
Appanoose County,IA ,Low-Mod,97.5,41.2,48.3,51.6,76.3
Audubon County,IA ,Low,97.5,53.2,62,64.7,90.9
Benton County,IA ,Low,97.5,51.4,60.4,63.5,80.6
Black Hawk County,IA ,Low-Mod,97.5,52.8,61.9,63.7,88.5
Boone County,IA ,Low,97.5,57.2,65.9,67.5,92.6
Bremer County,IA ,Low,97.5,53.4,62.3,64.8,88.5
Buchanan County,IA ,Low,97.5,48.1,57.6,61.5,88.1
Buena Vista County,IA ,Mod-High,97.5,57.6,69.7,74.1,83.9
Butler County,IA ,Low,97.5,52.1,60.6,64.1,90.8
Calhoun County,IA ,Low,97.5,53.1,61.9,65.7,86.3
Carroll County,IA ,Low,97.5,55.6,66.3,70.4,95.9
Cass County,IA ,Low,97.5,52.4,61,64.7,88.6
Cedar County,IA ,Low,97.5,53.6,62.2,64.3,86.3
Cerro Gordo County,IA ,Low,97.5,56.1,65.1,67.3,86.9
Cherokee County,IA ,Low,97.5,47.9,55.9,59.5,81
Chickasaw County,IA ,Low,97.5,48.6,57.4,61.4,84.4
Clarke County,IA ,Low-Mod,97.5,48.1,57.6,61,87.4
Clay County,IA ,Low-Mod,97.5,46.6,54.9,57.6,85
Clayton County,IA ,Low,97.5,43.6,50.6,54,76.7
Clinton County,IA ,Low-Mod,97.5,48.1,56.6,59.3,84.9
Crawford County,IA ,High,97.5,47.3,56.7,60,82.3
Dallas County,IA ,Low,97.5,57.2,70.3,72.1,90.2
Davis County,IA ,Low-Mod,97.5,32.5,40.6,44.2,74.5
Decatur County,IA ,Mod-High,97.5,36.3,42.5,45.3,77.2
Delaware County,IA ,Low,97.5,47.9,56.4,60.4,87.3
Des Moines County,IA ,Low-Mod,97.5,44.9,52.7,55.6,80.4
Dickinson County,IA ,Low,97.5,52.4,59.8,62.3,84.4
Dubuque County,IA ,Low,97.5,57.6,67.8,70.3,95.1
Emmet County,IA ,Low-Mod,97.5,45,51.4,54.5,78.4
Fayette County,IA ,Low,97.5,48.8,56.5,59.2,87.9
Floyd County,IA ,Low-Mod,97.5,47.8,56.1,59,79.8
Franklin County,IA ,Low,97.5,47.5,55.8,58.7,84.1
Fremont County,IA ,Low,97.5,45.6,53.3,56.4,83
Greene County,IA ,Low,97.5,51.7,60.9,63.8,90.6
Grundy County,IA ,Low,97.5,55.1,64.5,68.2,89.4
